id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
HenriquBranco863;Henrique Branco;henriqubranco863@li3.pt;(351) 932749638;1959/01/25;M;GZ168589;PT;Largo de Nogueira, 703471-532 Vila Nova de Santo André;2011/07/04 10:48:13;debit_card;active
MiguCruz3;Miguel Cruz;migucruz3@li3.pt;+351910303949;1957/12/25;M;PJ923564;PT;Avenida Carneiro, 813574-245 Amora;2017/03/02 04:11:04;cash;active
FSantos1584;Filipe Santos;fsantos1584@li3.pt;+351918623780;2004/12/02;M;DT312711;PT;Avenida Vera Faria, S/N3610-149 Ovar;2015/05/17 17:00:23;cash;active
DanielBarros;Daniela Barros;danielbarros@li3.pt;(351) 928817908;1985/07/24;F;ZZ542551;PT;Praça Amaral, 426779-261 Vale de Cambra;2010/12/25 13:22:55;debit_card;active
MicSimões;Micael Simões;micsimões@li3.pt;929174508;2001/06/08;M;VX548907;PT;Travessa Rocha, 201853-626 Santo Tirso;2017/12/27 15:35:27;cash;ACTIVE
JéssCampos501;Jéssica Campos;jésscampos501@li3.pt;(351) 281 964 595;1985/08/11;F;ML176008;PT;R. do Dr. Manuel Laranjeira, 655570-847 Funchal;2018/03/27 15:20:25;debit_card;active
ViolSilva;Violeta Silva;violsilva@li3.pt;(351) 922 977 973;2000/04/08;F;EL382909;PT;Travessa Bárbara Macedo, 93274-176 Abrantes;2018/01/25 22:14:42;cash;active
MaurFaria;Mauro Faria;maurfaria@li3.pt;912107481;1969/05/30;M;UG018174;PT;Avenida Matilde Moreira, 278235-349 Almada;2010/09/16 19:32:44;credit_card;active
ÍrVieira;Íris Vieira;írvieira@li3.pt;934136432;1998/04/07;F;RO302956;PT;Praça de Pereira, S/N8052-865 Serpa;2015/09/23 22:07:12;credit_card;active
CarolinBrito367;Carolina Brito;carolinbrito367@li3.pt;+351238472407;2002/11/30;F;BY885208;PT;Travessa de Faria, 471889-793 Portimão;2012/08/03 02:33:26;debit_card;active
IaNunes1818;Iara de Nunes;ianunes1818@li3.pt;(351) 968295636;1977/09/22;F;TJ761984;PT;Praça Pinho, 848753-669 Lamego;2015/01/18 13:56:57;debit_card;active
VascMagalhães;Vasco Magalhães;vascmagalhães@li3.pt;916 035 175;1980/03/09;M;OH608240;PT;R. Barros, 377577-564 Caldas da Rainha;2016/03/26 02:50:42;cash;active
CaCoelho-Soares1309;Carolina Coelho-Soares;cacoelho-soares1309@li3.pt;(351) 225925358;1954/05/25;F;IF395419;PT;R. do Beato, 983093-066 Alcobaça;2018/12/11 22:44:36;credit_card;active
LuCarneiro181;Luciana Carneiro;lucarneiro181@li3.pt;(351) 228 728 479;1975/10/05;F;RS542108;PT;;2010/06/30 03:44:47;debit_card;active
RaquPinho;Raquel Pinho;raqupinho@li3.pt;+351925400541;1958/03/03;F;IV699489;PT;R. Teresa Freitas, S/N3658-523 Sabugal;2013/09/30 08:20:53;credit_card;active
JAzevedo;Jaime Azevedo;jazevedo@li3.pt;(351) 919375383;1959/01/03;M;SC013103;PT;Av Rui Carneiro, S/N5798-807 Amadora;2020/11/07 04:03:51;debit_card;active
YasmOliveira5;Yasmin da Oliveira;yasmoliveira5@li3.pt;(351) 910 611 928;1965/01/27;F;NG154025;PT;R. da Pasteleira, 426801-718 Vila Nova de Santo André;2014/11/08 21:22:08;cash;active
TatiaAmorim1160;Tatiana Amorim;tatiaamorim1160@li3@pt;(351) 293907394;1981/11/30;F;YB981251;PT;R. do Anjo, 1158437-177 Santo Tirso;2010/10/21 22:36:32;cash;active
DaSilva;Daniela Silva;dasilva@li3.pt;960 367 774;1990/03/04;F;XN957107;PT;Largo Garcia, 9146023-800 Paredes;2020/02/19 10:29:37;debit_card;active
CaetaFaria;Caetana Faria;caetafaria@li3.pt;+351912990526;1989/01/08;F;TC318526;PT;Alameda de D. Afonso Henriques, S/N1370-677 Horta;2018/07/09 00:59:14;credit_card;active
AdPires;Adriana Pires;adpires@li3.pt;920976248;1976/11/21;F;PG831982;PT;Avenida Raquel Freitas, 353404-568 Lisboa;2015/08/15 00:39:51;credit_card;active
VerPires1592;Vera Pires;verpires1592@li3.pt;(351) 963 794 147;1953/01/31;F;OS983026;PT;Av Campos, 609405-674 Torres Vedras;2012/02/24 08:07:21;debit_card;active
XavFigueiredo;Xavier Figueiredo;xavfigueiredo@li3.pt;(351) 912 771 288;2002/10/14;M;XC492608;PT;Av de Aquilino Ribeiro, 391487-219 Mealhada;2019/01/29 19:55:53;credit_card;active
TiagAnjos;Tiago Anjos;tiaganjos@li3.pt;967 551 989;1950/01/30;M;PM195213;PT;Largo da Bela Vista, 9996433-701 Serpa;2020/04/05 17:53:18;cash;active
FilipCarvalho1065;Filipe Carvalho;filipcarvalho1065@li3.pt;(351) 258 548 408;1954/07/23;M;MJ612532;PT;Alameda Pinho, S/N6525-218 Felgueiras;2020/10/14 15:08:48;debit_card;active
JoFonseca403;José Fonseca;jofonseca403@li3.pt;(351) 920456682;2002/06/01;M;RI258357;PT;Avenida de Sousa, 7310690-126 Alverca do Ribatejo;2020/06/29 03:49:39;credit_card;active
EmíVaz-Assunção1873;Emília Vaz-Assunção;emívaz-assunção1873@li3.pt;283 769 667;1950/12/13;F;QN952927;PT;Av Anjos, 702553-228 Fátima;2010/11/11 22:59:25;cash;active
InêSoares;Inês do Soares;inêsoares@li3.pt;+351966702312;1953/09/29;F;TO922958;PT;Largo do Carvão, 4870801-781 Esmoriz;2016/05/25 19:47:59;debit_card;active
MaSimões-Cunha;Mara Simões-Cunha;masimões-cunha@li3.pt;+351263885791;1983/12/05;F;ZO756399;PT;Travessa do Marechal Gomes da Costa, 135310-826 Pinhel;2014/04/25 15:05:38;credit_card;active
TeresPinheiro2016;Teresa Pinheiro;terespinheiro2016@li3.pt;(351) 910308802;1951/11/11;F;TG314927;PT;Largo Petra Neto, 364839-711 Torres Vedras;2010/04/03 09:09:45;credit_card;active
MJesus;Mateus Jesus;mjesus@li3.pt;(351) 253506244;1954/11/26;M;UX356586;PT;R. Leandro Baptista, S/N9120-424 Santarém;2018/06/12 18:15:15;debit_card;active
LuTeixeira-Moura1161;Luísa Teixeira-Moura;luteixeira-moura1161@li3.pt;(351) 911 698 478;2001/12/31;F;YN931818;PT;Travessa Freitas, 845652-536 Peso da Régua;2011/02/11 18:32:51;debit_card;active
JLopes;Joaquim Lopes;jlopes@li3.pt;(351) 919 687 530;1978/03/25;M;RG541277;PT;Av de S. Marçal, 651616-396 Oliveira do Hospital;2014/06/20 15:27:59;debit_card;active
SMiranda;Salomé Miranda;smiranda@li3.pt;915165198;1992/07/31;F;YD505999;PT;Travessa Pinho, 531502-791 Espinho;2013/06/21 15:55:58;credit_card;active
RuMelo273;Rui Melo;rumelo273@li3.pt;+351919450069;1969/06/17;M;AK777186;PT;R. das Garças, 924742-549 Paredes;2015/05/12 23:58:08;cash;active
MicAmorim;Micael de Amorim;micamorim@li3.pt;932156633;1976/12/11;M;EQ332193;PT;Travessa de Nogueira, 934890-430 Miranda do Douro;2016/09/25 11:32:30;credit_card;active
NaMiranda;Naiara de Miranda;namiranda@li3.pt;+351924909670;1978/08/14;F;HQ293978;PT;R. Lucas Reis, 860507-798 Estarreja;2012/04/21 18:28:41;debit_card;active
PaSantos;Paulo Santos;pasantos@li3.pt;(351) 284 427 482;1984/05/03;M;BE314150;PT;R. de S. João da Foz, S/N9418-225 Valongo;2012/02/20 21:36:03;credit_card;active
DiMatos;Diana Matos;dimatos@li3.pt;910453809;1950/05/08;F;MD163628;PT;Avenida Catarina Borges, 672387-913 Fafe;2018/08/13 11:50:25;credit_card;Active
CarloCarvalho;Carlos Carvalho;carlocarvalho@li3.pt;(351) 969 979 118;1969/06/06;M;IB401644;PT;Av Sousa, 926871-767 Alcácer do Sal;2020/07/24 00:13:26;cash;active
YDomingues;Yasmin Domingues;ydomingues@li3.pt;+351962629144;1997/10/21;F;XV254468;PT;Travessa do Molhe, 879911-238 Covilhã;2013/07/05 03:26:20;cash;active
PetrCastro522;Petra Castro;petrcastro522@li3.pt;+351933994157;1970/10/14;F;MA422196;PT;Rua de Neto, 576392-236 São Salvador de Lordelo;2014/10/03 13:36:22;credit_card;active
SVaz1311;Simão Vaz;svaz1311@li3.pt;(351) 964 621 483;1993/05/10;M;AH894479;PT;R. de Cláudio Carneiro, S/N4966-819 Porto Santo;2010/03/24 05:39:28;credit_card;active
MarLima1531;Marco Lima;marlima1531@li3.pt;(351) 278 818 100;1977/08/01;M;IZ245465;PT;Largo Francisco Brito, 922143-914 Évora;2019/11/05 03:35:47;cash;active
FrancCruz;Francisco Cruz;franccruz@li3.pt;(351) 295 029 065;1974/04/09;M;KN473305;PT;Largo Vaz, 788210-834 Albufeira;2018/08/28 15:58:39;cash;active
ViceMoura1679;Vicente Moura;vicemoura1679@li3.pt;(351) 278 368 429;1997/12/23;M;BV083913;PT;Praça dos Mártires da Pátria, 3480009-605 Paredes;2011/07/10 19:29:48;credit_card;active
TiCampos;Tiago Campos;ticampos@li3.pt;(351) 917 540 054;1955/07/28;M;SC729091;PT;Alameda Vieira, 423983-283 Sines;2014/01/04 15:09:51;credit_card;active
GustaRodrigues799;Gustavo Rodrigues;gustarodrigues799@li3.pt;932257689;1986/04/26;M;ZM754938;PT;Av do Colégio, 660287-987 Peso da Régua;2019/03/17 13:36:23;cash;active
DavLeal;David Leal;davleal@li3.pt;(351) 917557243;1954/12/18;M;II114500;PT;Largo de Santos, S/N6483-152 Felgueiras;2013/09/07 17:37:07;debit_card;active
BrPinheiro;Bruna Pinheiro;brpinheiro@li3.pt;+351933867078;1951/09/05;F;;PT;R. de Vicente, S/N7499-842 Tomar;2014/11/12 16:13:43;debit_card;active
Teresa-HelenSá;Teresa-Helena Sá;teresa-helensá@li3.pt;278 092 734;1987/05/06;F;JE849232;PT;Travessa Pupilos do Exército, 497097-501 Póvoa de Santa Iria;2019/03/30 07:38:22;cash;active
NádBaptista;Nádia Baptista;nádbaptista@li3.pt;919810788;1955/03/15;F;JC239556;PT;Largo Isaac Machado, 4682173-934 Santana;2011/11/10 21:12:12;cash;active
SaMorais;Sara da Morais;samorais@li3.pt;(351) 927847643;1960/10/01;F;SB354671;PT;Avenida Monteiro, S/N2398-251 Porto;2020/03/03 13:34:41;cash;active
DébVaz;Débora-Rita Vaz;débvaz@li3.pt;+351939963897;1997/03/30;F;HW840020;PT;R. Letícia Machado, S/N8330-196 Figueira da Foz;2013/08/21 05:59:33;cash;active
GaspaAraújo1068;Gaspar Araújo;gaspaaraújo1068@li3.pt;933 985 432;1959/12/05;M;DN054905;PT;Largo Gaspar, 529113-156 Vila Franca de Xira;2013/03/13 05:08:53;debit_card;active
JosJesus;José Jesus;josjesus@li3.pt;(351) 232 843 779;1952/07/24;M;PR757254;PT;Avenida de Anjos, 25230-507 Vila Nova de Santo André;2014/10/05 04:10:51;cash;active
CaMarques;Carlos Marques;camarques@li3.pt;938235806;1973/01/01;M;CO725737;PT;Travessa de Gaspar, 31738-007 São Salvador de Lordelo;2015/10/27 03:40:48;debit_card;active
ÂngMelo2019;Ângelo Melo;ângmelo2019@li3.pt;+351919214758;1980/06/04;M;FS283100;PT;Rua Marta Castro, 26384-177 Lagos;2019/08/11 16:41:29;credit_card;active
ConstAlves296;Constança Alves;constalves296@li3.pt;+351930075482;1966/04/02;F;HX762302;PT;Avenida de Cunha, 447343-192 Póvoa de Santa Iria;2015/05/16 16:52:54;debit_card;active
PeNascimento1562;Petra Nascimento;penascimento1562@li3.pt;(351) 961 815 922;1991/03/04;F;OV726105;PT;Alameda Micael Jesus, 113611-935 Vendas Novas;2016/09/04 14:51:22;cash;active
JBatista;Juliana Batista;jbatista@li3.pt;911 268 057;1991/12/06;F;EH343175;PT;Largo Afonso Vieira, 155715-323 Vila Real;2013/10/05 12:14:29;cash;active
SalvTorres680;Salvador Torres;salvtorres680@li3.pt;+351928716571;1995/08/29;M;EQ240800;PT;Rua Almeida, 765083-319 Loulé;2011/12/09 07:01:39;cash;ACTIVE
TiaMatos;Tiago da Matos;tiamatos@li3.pt;+351916274728;1990/12/29;M;AK460132;PT;Alameda Costa, 550836-375 Mêda;2020/05/17 06:13:02;cash;active
DéAntunes;Débora Antunes;déantunes@li3.pt;+351929400312;1958/11/14;F;FI242990;PT;Praça do Adro, 299442-757 Alcácer do Sal;2020/08/28 17:17:52;debit_card;active
CarminhFreitas;Carminho Freitas;carminhfreitas@li3.pt;(351) 935374771;1966/11/05;F;YD806580;PT;Rua de Rodrigues, 395637-460 Vale de Cambra;2010/05/08 07:00:18;debit_card;inactive
KyaNascimento-Domingues470;Kyara Nascimento-Domingues;kyanascimento-domingues470@li3.pt;(351) 935825292;1967/06/04;F;WH773711;PT;Largo de Leal, 3330014-141 Reguengos de Monsaraz;2013/10/14 06:42:58;credit_card;active
RicaCardoso;Ricardo Cardoso;ricacardoso@li3.pt;(351) 910 624 867;1973/03/23;M;VU971781;PT;;2011/05/29 13:09:21;debit_card;active
MarPinto;Maria Pinto;marpinto@li3.pt;912784331;1988/04/01;F;NU196193;PT;Travessa Central, 9643606-821 Braga;2018/04/07 10:30:54;cash;active
NMartins;Núria-Isabela Martins;nmartins@li3.pt;933528957;1958/03/24;F;GS122558;PT;Avenida Marques, 2156444-313 Póvoa de Varzim;2016/12/25 00:45:19;credit_card;active
MarMaia;Martim Maia;marmaia@li3.pt;(351) 931 851 774;1984/04/25;M;MM349352;PT;Largo dos Capitães de Abril, S/N9188-200 Reguengos de Monsaraz;2013/11/20 01:03:24;cash;active
IAlves-Brito;Irina Alves-Brito;ialves-brito@li3.pt;922873088;1978/11/23;F;OR196002;PT;Largo de Soares, 480260-194 Costa da Caparica;2012/12/25 03:49:28;debit_card;active
PiMartins1358;Pilar Martins;pimartins1358@li3.pt;+351926793798;1979/05/24;F;ZX872702;PT;Travessa de Pires, S/N4585-226 Porto Santo;2010/05/13 19:59:22;credit_card;active
VMartins215;Vítor Martins;vmartins215@li3.pt;939766852;1967/02/24;M;VT458794;PT;Alameda de Loureiro, 581439-055 Santa Maria da Feira;2016/03/05 14:26:09;cash;ACTIVE
DFigueiredo;Diogo Figueiredo;dfigueiredo@li3.pt;(351) 925345692;1992/10/23;M;ZC500541;PT;Av de São Vicente de Paulo, 829446-945 Vila Franca de Xira;2019/07/15 08:12:39;cash;active
LaurMartins-Simões144;Laura Martins-Simões;laurmartins-simões144@li3.pt;967 233 087;1955/04/04;F;UV470526;PT;Av Lourenço, 753972-640 Alcobaça;2011/06/18 07:22:01;cash;active
LaFaria;Lara Faria;lafaria@li3.pt;931 736 298;1972/09/23;F;SA598386;PT;Travessa de Carvalho, 864549-341 Moura;2018/11/14 06:22:45;credit_card;active
ViMota;Vitória da Mota;vimota@li3.pt;(351) 917172175;1969/10/29;F;AO643412;PT;Travessa Ricardo Azevedo, 547814-945 Lixa;2020/01/01 22:41:55;credit_card;active
FlFernandes;Flor Fernandes;flfernandes@li3.pt;(351) 962839429;1955/12/31;F;PY333388;PT;Av Carlota Esteves, 9239568-313 Freamunde;2018/07/03 06:22:14;credit_card;active
Erica-Silva;Erica-Miriam Silva;erica-silva@li3.pt;218 170 580;1974/02/07;F;EX644182;PT;Av Amaral, 885010-489 Reguengos de Monsaraz;2016/11/26 02:45:09;cash;active
MAndrade-Pinho;Mara Andrade-Pinho;mandrade-pinho@li3.pt;962 502 294;2003/04/02;F;ME287674;PT;Largo José António Marques, 777054-466 São Mamede de Infesta;2019/10/20 16:27:49;credit_card;active
AlexRodrigues-Leal;Alexandre Rodrigues-Leal;alexrodrigues-leal@li3.pt;+351965824689;1959/12/10;M;BO254061;PT;Travessa Artur Miranda, 920977-419 Castelo Branco;2016/02/01 22:57:12;credit_card;active
MafCruz;Mafalda Cruz;mafcruz@li3.pt;(351) 917056031;1997/02/20;F;HR253722;PT;Av de Jesus, 921166-148 Loures;2019/05/22 00:45:52;debit_card;active
