id;airline;plane_model;total_seats;origin;destination;schedule_departure_date;schedule_arrival_date;real_departure_date;real_arrival_date;pilot;copilot;notes
0000000016;EasyJet;Airbus A320;180;LHR;CDG;2022/11/17 04:04:27;2022/11/17 05:19:27;2022/11/17 04:19:27;2022/11/17 06:49:27;Sarah Jones;Jane Smith;
0000000017;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/12/03 17:54:17;2022/12/03 19:04:17;2022/12/03 17:54:17;2022/12/03 20:44:17;Jane Williams;Emily Miller;
0000000018;Turkish Airlines;Airbus A320;200;IST;PRG;2023|03|22 07:24:43;2023/03/22 09:54:43;2023/03/22 07:29:43;2023/03/22 12:29:43;Sarah Taylor;David Smith;Smooth transition into cruising altitude.
0000000019;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/04/17 00:19:10;2021/04/17 01:49:10;2021/04/17 00:49:10;2021/04/17 04:34:10;Olivia Brown;Sarah Moore;
0000000020;Aeroflot;Airbus A320;250;SVO;TXL;2022/04/15 03:34:18;2022/04/15 06:49:18;2022/04/15 03:54:18;2022/04/15 10:29:18;William Davis;Emily Davis;
0000000021;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/07/15 05:06:49;2022/07/15 06:16:49;2022/07/15 05:06:49;2022/07/15 07:46:49;Sarah Davis;Michael Brown;
0000000022;Turkish Airlines;Airbus A320;200;IST;PRG;2022/10/06 02:54:40;2022/10/06 05:24:40;2022/10/06 03:24:40;2022/10/06 08:54:40;Sarah Taylor;David Smith;Ground crew efficiently handled the aircraft turnaround.
0000000023;Aeroflot;Airbus A320;250;SVO;TXL;2021/04/13 09:48:50;2021/04/13 13:03:50;2021/04/13 09:48:50;2021/04/13 16:23:50;William Davis;Emily Davis;
0000000024;Alitalia;Boeing 767;280;FCO;ATH;2023/05/10 14:08:08;2023/05/10 16:08:08;2023/05/10 14:08:08;2023/05/10 18:08:08;Laura Wilson;Emily Moore;The aircraft is performing well today.
0000000025;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/10/04 04:55:16;2022/10/04 06:25:16;2022/10/04 04:55:16;2022/10/04 07:55:16;Olivia Brown;Sarah Moore;
0000000026;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/05/12 16:10:59;2022/05/12 17:40:59;2022/05/12 16:40:59;2022/05/12 19:45:59;Olivia Brown;Sarah Moore;
0000000027;British Airways;Boeing 737;150;LHR;AMS;2021/09/16 05:56:49;2021/09/16 07:06:49;2021/09/16 05:56:49;2021/09/16 08:36:49;Sarah Smith;Emily Johnson;
0000000028;Ukraine International Airlines;Embraer E195;120;KBP;Waw;2022/05/07 14:39:33;2022/05/07 16:09:33;2022/05/07 14:39:33;2022/05/07 17:44:33;Olivia Brown;Sarah Moore;
0000000029;TAP Air Portugal;Airbus A320;200;LIS;MAD;2022/10/11 15:18:59;2022/10/11 16:28:59;2022/10/11 15:33:59;2022/10/11 17:53:59;Jane Williams;Emily Miller;Cabin pressure and temperature are within normal ranges.
0000000030;Aer Lingus;Airbus A320;180;DUB;LIS;2022/12/09 06:12:04;2022/12/09 09:12:04;2022/12/09 06:27:04;2022/12/09 12:57:04;Jane Jones;David Davis;
0000000031;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/10/09 03:38:54;2022/10/09 04:23:54;2022/10/09 03:58:54;2022/10/09 05:28:54;William Brown;Emily Wilson;
0000000032;Scandinavian Airlines (SAS);Boeing 737;160;CPH;oSl;2021/11/11 07:24:48;2021/11/11 08:24:48;2021/11/11 07:39:48;2021/11/11 09:54:48;David Smith;John Jones;We are experiencing some turbulence, but it's manageable.
0000000033;British Airways;Boeing 737;150;LHR;Ams;2021/06/13 09:19:49;2021/06/13 10:29:49;2021/06/13 09:24:49;2021/06/13 11:44:49;Sarah Smith;Emily Johnson;We're starting our descent into our destination.
0000000034;Austrian Airlines;Airbus A321;220;VIE;MUC;2023/06/17 17:07:13;2023/06/17 17:57:13;2023/06/17 17:12:13;2023/06/17 19:37:13;William Miller;John Wilson;
0000000035;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/04/08 17:50:53;2022/04/08 18:50:53;2022/04/08 18:10:53;2022/04/08 20:10:53;David Smith;John Jones;
0000000036;Aeroflot;Airbus A320;250;SVO;TXL;2022/02/07 09:49:44;2022/02/07 13:04:44;2022/02/07 10:09:44;2022/02/07 16:39:44;William Davis;Emily Davis;
0000000037;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/04/20 04:07:49;2023/04/20 05:37:49;2023/04/20 04:07:49;2023/04/20 07:52:49;Olivia Brown;Sarah Moore;
0000000038;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2023/07/11 01:37:47;2023/07/11 02:52:47;2023/07/11 01:37:47;2023/07/11 04:07:47;David Johnson;Michael Johnson;
0000000039;Ryanair;Boeing 737;189;DUB;TXL;2023/01/15 06:18:50;2023/01/15 08:18:50;2023/01/15 06:33:50;2023/01/15 10:33:50;Jane Davis;Emily Davis;
0000000040;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/04/08 07:43:10;2021/04/08 08:43:10;2021/04/08 07:43:10;2021/04/08 09:48:10;Laura Moore;John Taylor;
0000000041;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/06/02 15:19:26;2021/06/02 16:49:26;2021/06/02 15:19:26;2021/06/02 18:49:26;Olivia Brown;Sarah Moore;We appreciate your patience during the delay.
0000000042;Iberia;Airbus A321;220;MAD;LIS;2021/06/13 10:36:18;2021/06/13 11:51:18;2021/06/13 10:56:18;2021/06/13 14:11:18;Robert Johnson;John Moore;
0000000043;Transavia;Airbus A320;180;AMS;NCE;2021/02/18 07:59:39;2021/02/18 10:19:39;2021/02/18 08:14:39;2021/02/18 12:54:39;Jane Jones;Jane Jones;The flight attendants are preparing for landing.
0000000044;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/06/01 13:37:42;2022/06/01 14:22:42;2022/06/01 13:37:42;2022/06/01 15:07:42;William Brown;Emily Wilson;
0000000045;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2023/06/11 09:21:54;2023/06/11 10:21:54;2023/06/11 09:21:54;2023/06/11 11:21:54;David Smith;John Jones;The in-flight entertainment system is working flawlessly.
0000000046;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2023/06/06 09:34:18;2023/06/06 11:59:18;2023/06/06 09:54:18;2023/06/06 14:59:18;Emily Davis;John Smith;The approach to the runway is clear and safe.
0000000047;Aer Lingus;Airbus A320;180;DUB;LIS;2021/02/13 17:27:31;2021/02/13 20:27:31;2021/02/13 17:42:31;2021/02/14 00:12:31;Jane Jones;David Davis;
0000000048;Transavia;Airbus A320;180;AMS;NCE;2023/05/15 07:22:58;2023/05/15 09:42:58;2023/05/15 08:07:58;2023/05/15 13:32:58;Jane Jones;Jane Jones;
0000000049;Jet2.com;Airbus A321;220;MAN;PRG;2023/05/09 14:05:03;2023/05/09 16:35:03;2023/05/09 14:05:03;2023/05/09 19:35:03;Robert Williams;Michael Miller;
0000000050;Ryanair;Boeing 737;189;DUB;TXL;2023/03/09 10:53:47;2023/03/09 12:53:47;2023/03/09 10:53:47;2023/03/09 15:23:47;Jane Davis;Emily Davis;We'll be landing ahead of schedule today.
0000000051;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/02/06 04:09:14;2022/02/06 05:24:14;2022/02/06 04:54:14;2022/02/06 07:29:14;David Johnson;Michael Johnson;
0000000052;Jet2.com;Airbus A321;220;MAN;PRG;2022/03/13 01:42:16;2022/03/13 04:12:16;2022/03/13 01:42:16;2022/03/13 06:42:16;Robert Williams;Michael Miller;
0000000053;EasyJet;Airbus A320;180;LHR;CDG;2023/06/08 00:54:20;2023/06/08 02:09:20;2023/06/08 00:54:20;2023/06/08 03:39:20;Sarah Jones;Jane Smith;
0000000054;Ryanair;Boeing 737;189;DUB;TXL;2023/08/17 14:47:14;2023/08/17 16:47:14;2023/08/17 14:47:14;2023/08/17 18:47:14;Jane Davis;Emily Davis;
0000000055;Jet2.com;Airbus A321;220;MAN;PRG;2023/06/21 03:51:02;2023/06/21 06:21:02;2023/06/21 03:51:02;2023/06/21 08:51:02;Robert Williams;Michael Miller;Passengers seem comfortable and relaxed.
0000000056;Air France;Airbus A321;220;CDG;FCO;2023/04/04 01:59:21;2023/04/04 03:44:21;2023/04/04 01:59:21;2023/04/04 05:29:21;John Williams;Robert Smith;
0000000057;Lufthansa;Boeing 777;300;FRA;MAD;2021/10/20 02:23:35;2021/10/20 04:53:35;2021/10/20 03:08:35;2021/10/20 08:08:35;Emily Davis;Laura Brown;
0000000058;Norwegian Air Shuttle;Boeing 737;150;oSL;CPH;07/01/2012;2022/08/17 15:49:24;2022/08/17 14:54:24;2022/08/17 16:54:24;Laura Moore;John Taylor;
0000000059;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/08/04 11:04:55;2021/08/04 12:04:55;2021/08/04 11:19:55;2021/08/04 13:49:55;Laura Moore;John Taylor;The approach to the runway is clear and safe.
0000000060;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2022/08/14 07:55:10;2022/08/14 09:05:10;2022/08/14 07:55:10;2022/08/14 10:15:10;Sarah Davis;Michael Brown;
0000000061;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/01/15 09:39:11;2021/01/15 10:39:11;2021/01/15 09:39:11;2021/01/15 11:59:11;Laura Moore;John Taylor;Our flight attendants are attentive and professional.
0000000062;Transavia;Airbus A320;180;AMS;NCE;2021/05/12 04:35:25;2021/05/12 06:55:25;2021/05/12 04:35:25;2021/05/12 09:35:25;Jane Jones;Jane Jones;
0000000063;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/04/02 11:31:47;2022/04/02 13:56:47;2022/04/02 11:31:47;2022/04/02 16:21:47;Emily Davis;John Smith;
0000000064;Scandinavian Airlines (SAS);Boeing 737;160;CPH;oSl;2021/12/07 05:13:17;2021/12/07 06:13:17;2021/12/07 05:13:17;2021/12/07 07:13:17;David Smith;John Jones;The catering service provided delicious meals.
0000000065;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/06/14 07:04:07;2022/06/14 08:04:07;2022/06/14 07:34:07;2022/06/14 10:04:07;David Smith;John Jones;
0000000066;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/10/01 06:38:52;2021/10/01 08:08:52;2021/10/01 06:53:52;2021/10/01 10:13:52;Olivia Brown;Sarah Moore;
0000000067;Jet2.com;Airbus A321;220;MAN;PRG;2023/08/16 15:35:57;2023/08/16 18:05:57;2023/08/16 15:40:57;2023/08/16 20:40:57;Robert Williams;Michael Miller;Our company invests in the latest aviation technology.
0000000068;Lufthansa;Boeing 777;300;FRA;MAD;2022/03/08 15:28:47;2022/03/08 17:58:47;2022/03/08 15:28:47;2022/03/08 20:28:47;Emily Davis;Laura Brown;Clear skies and good visibility throughout the flight.
0000000069;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/08/10 07:33:26;2021/08/10 08:43:26;2021/08/10 08:18:26;2021/08/10 10:58:26;Sarah Davis;Michael Brown;
0000000070;TAP Air Portugal;Airbus A320;200;LIS;MAD;2023/03/18 02:24:30;2023/03/18 03:34:30;2023/03/18 02:44:30;2023/03/18 05:09:30;Jane Williams;Emily Miller;
0000000071;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2022/02/17 05:13:25;2022/02/17 06:28:25;2022/02/17 05:13:25;2022/02/17 07:48:25;David Johnson;Michael Johnson;
0000000072;Lufthansa;Boeing 777;300;FRA;MAD;2022/09/11 03:10:31;2022/09/11 05:40:31;2022/09/11 03:55:31;2022/09/11 09:25:31;Emily Davis;Laura Brown;
0000000073;Air France;Airbus A321;220;CDG;FCO;2022/04/02 15:27:43;2022/04/02 17:12:43;2022/04/02 15:32:43;2022/04/02 19:47:43;John Williams;Robert Smith;
0000000074;Iberia;Airbus A321;220;MAD;LIS;2022/02/06 05:55:13;2022/02/06 07:10:13;2022/02/06 06:25:13;2022/02/06 08:55:13;Robert Johnson;John Moore;
0000000075;Iberia;Airbus A321;220;MAD;LIS;2022/12/17 04:26:16;2022/12/17 05:41:16;2022/12/17 04:46:16;2022/12/17 07:21:16;Robert Johnson;John Moore;
0000000076;Lufthansa;Boeing 777;300;FRA;MAD;2022/10/08 09:37:57;2022/10/08 12:07:57;2022/10/08 09:52:57;2022/10/08 15:07:57;Emily Davis;Laura Brown;Ground staff is ready to assist with the aircraft's arrival.
0000000077;Transavia;Airbus A320;180;AMS;NCE;2022/04/15 06:45:40;2022/04/15 09:05:40;2022/04/15 07:30:40;2022/04/15 12:55:40;Jane Jones;Jane Jones;
0000000078;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/04/18 06:56:50;2022/04/18 09:21:50;2022/04/18 07:16:50;2022/04/18 12:21:50;Emily Davis;John Smith;
0000000079;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/02/21 11:27:13;2021/02/21 12:37:13;2021/02/21 12:12:13;2021/02/21 14:37:13;Sarah Davis;Michael Brown;
0000000080;Aeroflot;Airbus A320;250;SVO;TXL;2021/01/10 17:15:14;2021/01/10 20:30:14;2021/01/10 17:15:14;2021/01/10 23:45:14;William Davis;Emily Davis;
0000000081;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/01/17 07:34:09;2021/01/17 09:04:09;2021/01/17 07:49:09;2021/01/17 11:09:09;Olivia Brown;Sarah Moore;
0000000082;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2023/01/03 09:20:56;2023/01/03 10:20:56;2023/01/03 09:20:56;2023/01/03 11:25:56;Laura Moore;John Taylor;
0000000083;Vueling Airlines;Airbus A319;160;BCN;FCO;2023/03/04 16:48:30;2023/03/04 18:38:30;2023/03/04 16:48:30;2023/03/04 20:28:30;Jane Moore;Emily Taylor;
0000000084;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/07/08 04:47:17;2022/07/08 06:37:17;2022/07/08 04:47:17;2022/07/08 08:57:17;Jane Moore;Emily Taylor;
0000000085;Transavia;Airbus A320;180;AMS;NCE;2023/01/05 15:48:02;2023/01/05 18:08:02;2023/01/05 16:33:02;2023/01/05 21:58:02;Jane Jones;Jane Jones;
0000000086;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/09/22 01:44:28;2021/09/22 04:09:28;2021/09/22 02:29:28;2021/09/22 07:19:28;Emily Davis;John Smith;
0000000087;Austrian Airlines;Airbus A321;220;VIE;MUC;2022/04/12 04:15:35;2022/04/12 05:05:35;2022/04/12 04:30:35;2022/04/12 06:30:35;William Miller;John Wilson;
0000000088;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2021/04/02 00:54:41;2021/04/02 01:54:41;2021/04/02 00:54:41;2021/04/02 02:54:41;David Smith;John Jones;Our flight route is well-planned to avoid turbulence.
0000000089;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2023/06/06 13:07:44;2023/06/06 13:52:44;2023/06/06 13:07:44;2023/06/06 15:07:44;William Brown;Emily Wilson;The aircraft is performing well today.
0000000090;Jet2.com;Airbus A321;220;MAN;PRG;2021/07/16 12:50:39;2021/07/16 15:20:39;2021/07/16 12:50:39;2021/07/16 17:50:39;Robert Williams;Michael Miller;
0000000091;Ryanair;Boeing 737;189;DUB;BCN;2023/08/03 03:01:46;2023/08/03 05:46:46;2023/08/03 03:06:46;2023/08/03 08:36:46;Laura Wilson;Sarah Davis;
0000000092;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/03/04 12:25:06;2021/03/04 13:40:06;2021/03/04 12:25:06;2021/03/04 14:55:06;David Johnson;Michael Johnson;
0000000093;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2022/12/07 14:38:03;2022/12/07 15:38:03;2022/12/07 14:58:03;2022/12/07 17:43:03;Laura Moore;John Taylor;
0000000094;Vueling Airlines;Airbus A319;160;BCN;FCO;2022/11/17 03:45:53;2022/11/17 05:35:53;2022/11/17 03:50:53;2022/11/17 07:35:53;Jane Moore;Emily Taylor;
0000000095;Air France;Airbus A321;220;CDG;FCO;2021/12/09 08:55:13;2021/12/09 10:40:13;2021/12/09 08:55:13;2021/12/09 12:25:13;John Williams;Robert Smith;
0000000096;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2022/10/08 17:51:55;2022/10/08 18:36:55;2022/10/08 17:51:55;2022/10/08 19:21:55;William Brown;Emily Wilson;
0000000097;LOT Polish Airlines;Embraer E190;100;wAw;BUD;2023/06/03 15:01:11;2023/06/03 16:16:11;2023/06/03 15:21:11;2023/06/03 17:51:11;David Johnson;Michael Johnson;
0000000098;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2021/05/17 03:07:52;2021/05/17 05:32:52;2021/05/17 03:12:52;2021/05/17 08:47:52;Emily Davis;John Smith;
0000000099;Iberia;Airbus A321;220;MAD;LIS;2022/06/15 16:41:40;2022/06/15 17:56:40;2022/06/15 17:01:40;2022/06/15 20:01:40;Robert Johnson;John Moore;
0000000100;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/06/13 12:00:28;2023/06/13 13:30:28;2023/06/13 12:30:28;2023/06/13 15:30:28;Olivia Brown;Sarah Moore;
0000000101;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2023/08/11 01:43:00;2023/08/11 02:43:00;2023/08/11 01:43:00;2023/08/11 03:43:00;David Smith;John Jones;
0000000102;Iberia;Airbus A321;220;MAD;LIS;2022/07/05 14:56:05;2022/07/05 16:11:05;2022/07/05 14:56:05;2022/07/05 17:26:05;Robert Johnson;John Moore;
0000000103;Air France;Airbus A321;220;CDG;FCO;2023/01/14 01:50:13;2023/01/14 03:35:13;2023/01/14 01:50:13;2023/01/14 05:20:13;John Williams;Robert Smith;
0000000104;Aeroflot;Airbus A320;250;SVO;TXL;2022/09/15 04:28:29;2022/09/15 07:43:29;2022/09/15 04:28:29;2022/09/15 11:18:29;William Davis;Emily Davis;
0000000105;EasyJet;Airbus A320;180;LHR;CDG;2023/06/15 11:03:44;2023/06/15 12:18:44;2023/06/15 11:33:44;2023/06/15 14:03:44;Sarah Jones;Jane Smith;Our flight route is well-planned to avoid turbulence.
0000000106;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/11/19 08:37:12;2022/11/19 10:07:12;2022/11/19 08:57:12;2022/11/19 12:17:12;Olivia Brown;Sarah Moore;
0000000107;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2021/02/10 14:46:14;2021/02/10 16:16:14;2021/02/10 14:46:14;2021/02/10 17:46:14;Olivia Brown;Sarah Moore;
0000000108;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2023/03/19 06:40:31;2023/03/19 08:10:31;2023/03/19 06:40:31;2023/03/19 09:40:31;Olivia Brown;Sarah Moore;
0000000109;Transavia;Airbus A320;180;AMS;NCE;2022/12/07 00:03:45;2022/12/07 02:23:45;2022/12/07 00:33:45;2022/12/07 05:13:45;Jane Jones;Jane Jones;
0000000110;Aeroflot;Airbus A320;250;SVO;TXL;2022/12/12 08:21:21;2022/12/12 11:36:21;2022/12/12 08:21:21;2022/12/12 14:56:21;William Davis;Emily Davis;We have a rigorous maintenance schedule for our fleet.
0000000111;Iberia;Airbus A321;220;MAD;LIS;2022/07/20 01:48:08;2022/07/20 03:03:08;2022/07/20 01:48:08;2022/07/20 04:33:08;Robert Johnson;John Moore;
0000000112;Transavia;Airbus A320;180;AMS;NCE;2023/04/20 05:05:06;2023/04/20 07:25:06;2023/04/20 05:05:06;2023/04/20 09:45:06;Jane Jones;Jane Jones;
0000000113;Transavia;Airbus A320;180;AMS;NCE;2021/05/11 04:23:16;2021/05/11 06:43:16;2021/05/11 04:28:16;2021/05/11 09:13:16;Jane Jones;Jane Jones;
0000000114;EasyJet;Airbus A320;180;LHR;CDG;2022/05/07 00:31:28;2022/05/07 01:46:28;2022/05/07 00:36:28;2022/05/07 03:26:28;Sarah Jones;Jane Smith;
0000000115;Iberia;Airbus A321;220;MAD;LIS;2022/10/21 14:18:07;2022/10/21 15:33:07;2022/10/21 14:18:07;2022/10/21 17:33:07;Robert Johnson;John Moore;We've reached our maximum altitude for this flight.
0000000116;Iberia;Airbus A321;220;MAD;LIS;2021/09/05 10:30:03;2021/09/05 11:45:03;2021/09/05 10:30:03;;Robert Johnson;John Moore;
0000000117;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/06/11 02:00:49;2022/06/11 03:30:49;2022/06/11 05:45:49;2022/06/11 02:00:49;Olivia Brown;Sarah Moore;
0000000118;Ryanair;Boeing 737;189;DUB;TXL;2022/06/12 06:09:12;2022/06/12 08:09:12;2022/06/12 06:09:12;2022/06/12 10:09:12;Jane Davis;Emily Davis;
0000000119;Swiss International Air Lines;Airbus A319;140;ZRH;MXP;2021/12/12 08:47:04;2021/12/12 09:32:04;2021/12/12 09:07:04;2021/12/12 10:57:04;William Brown;Emily Wilson;
0000000120;Ukraine International Airlines;Embraer E195;120;KBP;WAW;2022/07/07 01:42:57;2022/07/07 03:12:57;2022/07/07 01:47:57;2022/07/07 05:32:57;Olivia Brown;Sarah Moore;
0000000121;Iberia;Airbus A321;220;MAD;LIS;2023/01/13 17:32:07;2023/01/13 18:47:07;2023/01/13 17:32:07;2023/01/13 20:02:07;Robert Johnson;John Moore;
0000000122;Lufthansa;Boeing 777;300;FRA;MAD;2023/02/02 09:26:18;2023/02/02 11:56:18;2023/02/02 10:11:18;2023/02/02 15:56:18;Emily Davis;Laura Brown;
0000000123;Ryanair;Boeing 737;189;DUB;BCN;2022/04/21 07:52:36;2022/04/21 10:37:36;2022/04/21 08:12:36;2022/04/21 13:57:36;Laura Wilson;Sarah Davis;
0000000124;Air France;Airbus A321;220;CDG;FCO;2022/12/07 04:47:07;2022/12/07 06:32:07;2022/12/07 05:17:07;2022/12/07 08:47:07;John Williams;Robert Smith;
0000000125;EasyJet;Airbus A320;180;LHR;CDG;2021/01/06 12:11:01;2021/01/06 13:26:01;2021/01/06 12:31:01;2021/01/06 15:01:01;Sarah Jones;Jane Smith;The catering service provided delicious meals.
0000000126;Turkish Airlines;Airbus A320;200;IST;PRG;2023/01/08 00:57:22;2023/01/08 03:27:22;2023/01/08 01:12:22;2023/01/08 06:12:22;Sarah Taylor;David Smith;
0000000127;Scandinavian Airlines (SAS);Boeing 737;160;CPH;OSL;2022/01/10 12:36:32;2022/01/10 13:36:32;2022/01/10 13:06:32;2022/01/10 15:06:32;David Smith;John Jones;
0000000128;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2021/12/17 12:22:36;2021/12/17 13:32:36;2021/12/17 12:37:36;2021/12/17 15:02:36;Sarah Davis;Michael Brown;
0000000129;Lufthansa;Boeing 777;300;FRA;MAD;2021/09/17 12:55:22;2021/09/17 15:25:22;2021/09/17 13:15:22;2021/09/17 18:30:22;Emily Davis;Laura Brown;Smooth takeoff, great weather today!
0000000130;LOT Polish Airlines;Embraer E190;100;WAW;BUD;2021/10/10 16:35:26;2021/10/10 17:50:26;2021/10/10 16:50:26;2021/10/10 19:20:26;David Johnson;Michael Johnson;We have a slight delay due to air traffic.
0000000131;Scandinavian Airlines (SAS);Boeing 737;160;ARN;HEL;2023/06/17 03:10:01;2023/06/17 04:20:01;2023/06/17 03:25:01;2023/06/17 05:45:01;Sarah Davis;Michael Brown;
0000000132;KLM Royal Dutch Airlines;Airbus A330;250;AMS;VIE;2022/03/12 14:36:07;2022/03/12 17:01:07;2022/03/12 14:36:07;2022/03/12 20:11:07;Emily Davis;John Smith;
0000000133;Turkish Airlines;Airbus A320;200;IST;PRG;2023/04/10 03:46:11;2023/04/10 06:16:11;2023/04/10 04:01:11;2023/04/10 09:01:11;Sarah Taylor;David Smith;
0000000134;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/01/01 03:31:50;2021/01/01 04:31:50;2021/01/01 03:31:50;2021/01/01 05:46:50;Laura Moore;John Taylor;The airport is busy, but we'll find a gate shortly.
0000000135;Aer Lingus;Airbus A320;180;DUB;LIS;2023/06/17 14:35:49;2023/06/17 17:35:49;2023/06/17 14:35:49;2023/06/17 21:05:49;Jane Jones;David Davis;
0000000136;Norwegian Air Shuttle;Boeing 737;150;OSL;CPH;2021/04/14 16:57:57;2021/04/14 17:57:57;2021/04/14 17:02:57;2021/04/14 19:22:57;Laura Moore;John Taylor;
0000000137;Air France;Airbus A321;220;CDG;FCO;2022/08/06 08:29:19;2022/08/06 10:14:19;2022/08/06 08:29:19;2022/08/06 12:14:19;John Williams;Robert Smith;We appreciate your patience during the delay.
